X-Axis,Z Scores
-96.63983199159958,0.0
-96.62983149157458,0.0
-96.61983099154958,0.0
-96.60983049152458,0.0
-96.59982999149958,0.0
-96.58982949147457,0.0
-96.57982899144957,0.0
-96.56982849142457,0.0
-96.55982799139957,0.0
-96.54982749137457,0.0
-96.53982699134957,0.0
-96.52982649132457,0.0
-96.51982599129957,0.0
-96.50982549127457,0.0
-96.49982499124957,0.0
-96.48982449122457,0.0
-96.47982399119957,0.0
-96.46982349117457,0.0
-96.45982299114955,0.0
-96.44982249112455,0.0
-96.43982199109955,0.0
-96.42982149107455,0.0
-96.41982099104955,0.0
-96.40982049102455,0.0
-96.39981999099955,0.0
-96.38981949097455,0.0
-96.37981899094954,0.0
-96.36981849092454,0.0
-96.35981799089954,0.0
-96.34981749087454,0.0
-96.33981699084954,0.0
-96.32981649082454,0.0
-96.31981599079954,0.0
-96.30981549077454,0.0
-96.29981499074954,0.0
-96.28981449072454,0.0
-96.27981399069954,0.0
-96.26981349067454,0.0
-96.25981299064954,0.0
-96.24981249062454,0.0
-96.23981199059953,0.0
-96.22981149057453,0.0
-96.21981099054953,0.0
-96.20981049052453,0.0
-96.19980999049953,0.0
-96.18980949047452,0.0
-96.17980899044952,0.0
-96.16980849042451,0.0
-96.15980799039951,0.0
-96.14980749037451,0.0
-96.13980699034951,0.0
-96.12980649032451,0.0
-96.11980599029951,0.0
-96.10980549027451,0.0
-96.09980499024951,0.0
-96.08980449022451,0.0
-96.07980399019951,0.0
-96.06980349017451,0.0
-96.0598029901495,0.0
-96.0498024901245,0.0
-96.0398019900995,0.0
-96.0298014900745,0.0
-96.0198009900495,0.0
-96.0098004900245,0.0
-95.9997999899995,0.0
-95.9897994899745,0.0
-95.9797989899495,0.0
-95.9697984899245,0.0
-95.9597979898995,0.0
-95.9497974898745,0.0
-95.9397969898495,0.0
-95.9297964898245,0.0
-95.9197959897995,0.0
-95.9097954897745,0.0
-95.8997949897495,0.0
-95.88979448972448,0.0
-95.87979398969948,0.0
-95.86979348967448,0.0
-95.85979298964948,0.0
-95.84979248962448,0.0
-95.83979198959948,0.0
-95.82979148957448,0.0
-95.81979098954947,0.0
-95.80979048952447,0.0
-95.79978998949947,0.0
-95.78978948947447,0.0
-95.77978898944947,0.0
-95.76978848942447,0.0
-95.75978798939947,0.0
-95.74978748937447,0.0
-95.73978698934947,0.0
-95.72978648932447,0.0
-95.71978598929947,0.0
-95.70978548927447,0.0
-95.69978498924947,0.0
-95.68978448922446,0.0
-95.67978398919946,0.0
-95.66978348917446,0.0
-95.65978298914946,0.0
-95.64978248912446,0.0
-95.63978198909946,0.0
-95.62978148907445,0.0
-95.61978098904945,0.0
-95.60978048902444,0.0
-95.59977998899944,0.0
-95.58977948897444,0.0
-95.57977898894944,0.0
-95.56977848892444,0.0
-95.55977798889944,0.0
-95.54977748887444,0.0
-95.53977698884944,0.0
-95.52977648882444,0.0
-95.51977598879944,0.0
-95.50977548877444,0.0
-95.49977498874944,0.0
-95.48977448872444,0.0
-95.47977398869943,0.0
-95.46977348867443,0.0
-95.45977298864943,0.0
-95.44977248862443,0.0
-95.43977198859943,0.0
-95.42977148857443,0.0
-95.41977098854943,0.0
-95.40977048852443,0.0
-95.39976998849943,0.0
-95.38976948847443,0.0
-95.37976898844943,0.0
-95.36976848842443,0.0
-95.35976798839943,0.0
-95.34976748837443,0.0
-95.33976698834942,0.0
-95.32976648832441,0.0
-95.31976598829941,0.0
-95.30976548827441,0.0
-95.29976498824941,0.0
-95.2897644882244,0.0
-95.2797639881994,0.0
-95.2697634881744,0.0
-95.2597629881494,0.0
-95.2497624881244,0.0
-95.2397619880994,0.0
-95.2297614880744,0.0
-95.2197609880494,0.0
-95.2097604880244,0.0
-95.1997599879994,0.0
-95.1897594879744,0.0
-95.1797589879494,0.0
-95.1697584879244,0.0
-95.1597579878994,0.0
-95.1497574878744,0.0
-95.1397569878494,0.0
-95.1297564878244,0.0
-95.1197559877994,0.0
-95.1097554877744,0.0
-95.09975498774939,0.0
-95.08975448772439,0.0
-95.07975398769939,0.0
-95.06975348767439,0.0
-95.05975298764938,0.0
-95.04975248762437,0.0
-95.03975198759937,0.0
-95.02975148757437,0.0
-95.01975098754937,0.0
-95.00975048752437,0.0
-94.99974998749937,0.0
-94.98974948747437,0.0
-94.97974898744937,0.0
-94.96974848742437,0.0
-94.95974798739937,0.0
-94.94974748737437,0.0
-94.93974698734937,0.0
-94.92974648732437,0.0
-94.91974598729936,0.0
-94.90974548727436,0.0
-94.89974498724936,0.0
-94.88974448722436,0.0
-94.87974398719936,0.0
-94.86974348717436,0.0
-94.85974298714936,0.0
-94.84974248712436,0.0
-94.83974198709936,0.0
-94.82974148707436,0.0
-94.81974098704936,0.0
-94.80974048702436,0.0
-94.79973998699936,0.0
-94.78973948697436,0.0
-94.77973898694935,0.0
-94.76973848692435,0.0
-94.75973798689934,0.0
-94.74973748687434,0.0
-94.73973698684934,0.0
-94.72973648682434,0.0
-94.71973598679934,0.0
-94.70973548677433,0.0
-94.69973498674933,0.0
-94.68973448672433,0.0
-94.67973398669933,0.0
-94.66973348667433,0.0
-94.65973298664933,0.0
-94.64973248662433,0.0
-94.63973198659933,0.0
-94.62973148657433,0.0
-94.61973098654933,0.0
-94.60973048652433,0.0
-94.59972998649933,0.0
-94.58972948647433,0.0
-94.57972898644933,0.0
-94.56972848642432,0.0
